OrderDate,Quantity,SalesAmount,Profit,Region,Category,CustomerID
2022-01-01,1,496.02,125.39,South,Clothing,CUST_242
2022-01-01,1,467.41,182.27,North,Food,CUST_330
2022-01-01,2,296.03,-26.4,North,Food,CUST_141
2022-01-01,8,323.64,43.33,South,Furniture,CUST_479
2022-01-01,7,274.2,11.24,North,Furniture,CUST_264
2022-01-01,7,367.33,119.29,South,Furniture,CUST_58
2022-01-01,13,381.41,94.56,South,Electronics,CUST_190
2022-01-01,11,131.22,141.8,West,Food,CUST_398
2022-01-02,3,190.59,55.7,North,Furniture,CUST_458
2022-01-02,6,169.44,39.06,North,Electronics,CUST_123
2022-01-02,2,297.31,-30.6,East,Furniture,CUST_363
2022-01-02,7,325.39,2.62,North,Electronics,CUST_145
2022-01-02,10,356.37,-44.16,West,Clothing,CUST_81
2022-01-02,9,158.02,112.64,West,Furniture,CUST_188
2022-01-03,11,363.42,73.99,South,Food,CUST_1
2022-01-03,12,420.64,112.2,East,Furniture,CUST_426
2022-01-03,5,381.43,101.83,North,Food,CUST_177
2022-01-03,13,120.68,35.07,West,Furniture,CUST_409
2022-01-03,13,486.64,12.27,East,Electronics,CUST_137
2022-01-04,3,296.69,25.85,North,Electronics,CUST_311
2022-01-04,12,322.36,157.48,North,Clothing,CUST_489
2022-01-04,3,80.04,197.52,South,Electronics,CUST_222
2022-01-05,14,225.16,168.28,East,Clothing,CUST_411
2022-01-05,1,211.71,96.5,West,Furniture,CUST_10
2022-01-05,11,453.38,-18.41,West,Furniture,CUST_307
2022-01-05,11,468.05,50.43,South,Food,CUST_272
2022-01-05,3,464.19,-19.54,West,Electronics,CUST_424
2022-01-06,6,263.67,176.67,West,Clothing,CUST_219
2022-01-06,13,292.61,152.25,North,Furniture,CUST_66
2022-01-06,5,416.61,111.95,North,Furniture,CUST_140
2022-01-06,7,130.29,157.61,East,Electronics,CUST_329
2022-01-07,3,203.22,11.09,East,Furniture,CUST_491
2022-01-07,11,119.32,181.59,South,Electronics,CUST_388
2022-01-07,9,431.52,89.5,West,Clothing,CUST_45
2022-01-07,7,482.69,101.0,North,Food,CUST_224
2022-01-07,12,390.68,34.35,East,Food,CUST_454
2022-01-08,7,326.4,12.17,East,Furniture,CUST_155
2022-01-08,2,282.59,-42.85,South,Food,CUST_46
2022-01-08,10,119.86,59.44,East,Clothing,CUST_459
2022-01-08,8,336.22,114.93,South,Food,CUST_239
2022-01-08,4,34.3,94.97,North,Clothing,CUST_434
2022-01-09,10,285.98,49.19,West,Clothing,CUST_194
2022-01-09,2,452.7,140.99,South,Furniture,CUST_133
2022-01-09,6,218.08,44.41,North,Furniture,CUST_380
2022-01-10,11,394.38,131.02,East,Electronics,CUST_27
2022-01-10,8,465.49,-39.75,South,Electronics,CUST_144
2022-01-10,13,485.87,196.93,West,Electronics,CUST_94
2022-01-10,5,361.34,111.28,North,Electronics,CUST_251
2022-01-10,7,128.28,42.2,West,Furniture,CUST_483
2022-01-11,3,337.66,5.6,West,Electronics,CUST_154
2022-01-11,8,289.53,1.74,West,Food,CUST_261
2022-01-11,13,402.04,-44.86,North,Furniture,CUST_329
